title,category,url,image_url,ingredients
Aromatic Garlic Ginger Rice,Appetizers & Sides,https://www.traderjoes.com/home/recipes/aromatic-garlic-ginger-rice,https://www.traderjoes.com/content/dam/trjo/context-images/90859-chicken-broth-concentrate-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,"['4 tablespoons TJ’s Salted Butter', '2 tablespoons finely chopped TJ’s Fresh Garlic', '1 tablespoon finely chopped TJ’s Fresh Ginger', '1 cup TJ’s Jasmine Rice, rinsed', '2 cups hot water', '2 TJ’s Chicken Broth Concentrate packets', '1 TJ’s Green Onion, thinly sliced on a bias']"
,,,,[]
,,,,[]
,,,,[]
,,,,[]
,,,,[]
,,,,[]
,,,,[]
,,,,[]
,,,,[]
,,,,[]
,,,,[]
,,,,[]
,,,,[]
,,,,[]
